texto,intencao
Tudo bem com você?,saudacao
Olá!,saudacao
Vejo Você mais tarde,despedida
Falo com você mais tarde,despedida
Vamos ser amigos?,saudacao
Primeiro,conversa
Diga-me seu nome,conversa
Agora me conte quantos anos você tem?,pergunta
Que legal!,sentimento
Você quer fazer uma experiência comigo?,pergunta
Então vamos lá:,conversa
Primeiro,conversa
Eu quero que você ande bem devagarzinho neste tapete aqui no chão.,conversa
Eu não consegui sentir seu pezinho direito!,conversa
Você pode andar novamente?,pergunta
Isso mesmo!,conversa
Parabéns!,conversa
Você desfila muito bem!,conversa
A kidy estudou um tempão para fazer esse tapetinho para você.,conversa
E agora eu posso dizer te dizer qual é a palmilha KIDY PERFEKT é a ideal para o seu pezinho.,conversa
Estou muito feliz que a partir de agora seus passos estarão muito  mais protegidos e saúdaveis.,conversa
Tchau!,despedida
Como está o tempo?,clima
Qual é a temperatura,clima
Onde estamos?,localização
Qual cidade estamos?,localização
Qual estado estamos?,localização
Qual país estamos?,localização
